,Authors,Body,Keywords,Date
0,[],,"['fox', 'watch', 'business', 'network', 'channel', 'online']",
1,[],"New York Gov. Andrew Cuomo is facing mounting calls for his resignation, an independent investigation and a move to rescind his emergency coronavirus powers amid dueling scandals over allegations of improper behavior toward women and his handling of the nursing home crisis during the coronavirus pandemic.

""A year into the pandemic, and as New Yorkers receive the vaccine, the temporary emergency powers have served their purpose – it is time for them to be repealed,"" State Assembly Speaker Carl Heastie said in a statement.

TRUMP JR. ASKS IF CUOMO PUBLISHER WILL CANCEL BOOK CONTRACT: 'WHAT ARE THE RULES?'

Former Cuomo aide Lindsey Boylan, 36, has accused the governor of unwanted touching and kissing. After her bombshell essay on Medium, another former aide, Charlotte Bennett, also came forward with sexual harassment allegations, claiming she was 25 years old at the time. A third woman with no workplace ties to the governor, Anna Ruch, accused him this week of making unwanted sexual advances and touching her at a 2019 wedding.

Fast Facts Three women have made allegations against Cuomo, and critics are incensed over his handling of the coronavirus in the state's nursing homes



Leaders of the state Assembly and Senate announced a deal on legislation to rescind Cuomo's coronavirus emergency powers



New York's attorney general announced that the governor's office sent a letter permitting her office to perform an independent investigation into the sexual harassment allegations

CUOMO HIRES CRIMINAL DEFENSE LAWYER AFTER SEXUAL HARASSMENT ALLEGATIONS, NURSING HOME SCANDAL

A spokesperson for the governor reportedly referred The Times to Cuomo's statement issued Sunday, in which he said some of the things he's said in the past ""have been misinterpreted as an unwanted flirtation."" Cuomo's office has also denied Boylan's harassment claims, calling them ""simply false.""

Lawmakers have called for independent investigations and the resignation of Cuomo, 63, including several members of the Democratic party.

CLICK HERE TO GET THE FOX NEWS APP

Follow below for more updates on the dueling scandals. Mobile users click here.","['harassment', 'unwanted', 'leaders', 'allegations', 'office', 'sexual', 'updates', 'powers', 'live', 'democratic', 'coronavirus', 'nursing', 'rescinding', 'york', 'reach', 'governor', 'cuomo', 'emergency', 'gov', 'independent']",
2,[],,"['fox', 'watch', 'business', 'network', 'channel', 'online']",
3,[],,"['usurping', 'bidens', 'problem', 'americans', 'rights', 'creators', 'ingraham']",
4,[],,"['real', 'consequences', 'bidens', 'signaling', 'virtue', 'hannity', 'sean']",
5,[],,"['key', 'difference', 'tucker', 'equality', 'equity']",
6,[],,"['tech', 'jones', 'lawrence', 'immigration', 'slams', 'demands', 'big']",
7,[],,"['john', 'bill', 'bidens', 'sen', 'covid', 'kennedy', 'way', 'improve', 'shredder']",
8,[],,"['warns', 'kissinger', 'trump', 'biden', 'similar', 'policies', 'nixon', 'iran', 'foreign']",
9,[],,"['psychedelic', 'california', 'gutfeld', 'bill', 'decriminalize', 'drugs']",
