,Authors,Body,Keywords,Date
0,"['Graeme Demianyk', 'Huffpost Uk', 'Nicole Winfield', 'Akbar Shahid Ahmed', 'Mary Papenfuss', 'Aasma Day', 'Emma Paling', 'Arthur Delaney', 'Lee Moran', 'Nick Visser']","As the global effort to share vaccines enters high gear, it will still be years before billions of people can get the shot — threatening more deaths and a longer journey to normalcy.","['global', 'shot', 'high', 'updates', 'normalcy', 'gear', 'longer', 'vaccines', 'coronavirus', 'huffpost', 'threatening', 'share', 'latest', 'journey']",
1,"['Alexander C. Kaufman', 'Nina Golgowski', 'Lee Moran', 'Paul J. Weber', 'Associated Press', 'Kathleen Ronayne', 'Ed Mazza']",The nonprofit consortium that oversees much of the nation's building codes just gave the construction and gas industries more control over the process.,"['consortium', 'nonprofit', 'industries', 'nations', 'gas', 'oversees', 'construction', 'process', 'control', 'gave']",
2,"['Sarah Turnnidge', 'Huffpost Uk', 'Carly Ledbetter', 'Samya Kullab', 'Elyse Wanshel', 'Michael Holden', 'Lekan Oyekanmi']","Pontins kept a list of Irish last names in an attempt to keep out members of the Irish Traveler community, the U.K. equalities watchdog said.","['list', 'watchdog', 'traveler', 'uk', 'kept', 'equalities', 'pontins', 'names', 'world', 'irish', 'members']",
3,"['Lee Moran', 'Ed Mazza', 'Ron Dicker', 'Paul Blumenthal', 'Nick Visser', 'Josephine Harvey']","""Maybe you missed it while in Cancun but Biden has not done anything to cancel book publication. Nada. Nothing. Zilch,"" one person hit back on Twitter.","['maybe', 'cancun', 'politics', 'missed', 'nada', 'zilch', 'publication', 'twitter', 'hit', 'cancel', 'person']",
4,"['Ron Dicker', 'Lee Moran', 'Ariel Edwards-Levy', 'Huffpost Video', 'Jenna Amatulli', 'Kevin Robillard', 'Rebecca Klein', 'Igor Bobic', 'Arthur Delaney', 'Daniel Marans']","""Maybe you missed it while in Cancun but Biden has not done anything to cancel book publication. Nada. Nothing. Zilch,"" one person hit back on Twitter.","['maybe', 'cancun', 'missed', 'nada', 'joe', 'zilch', 'biden', 'publication', 'twitter', 'hit', 'cancel', 'person']",
5,"['Huffpost Video', 'Igor Bobic', 'Arthur Delaney', 'Jennifer Bendery', 'Amanda Terkel', 'Matt Fuller', ""Ja'Han Jones"", ""Lydia O'Connor""]",Many of the GOP senators who voted to convict former President Donald Trump of inciting the Capitol insurrection are facing backlash from their local or state Republican parties.,"['inciting', 'senators', 'state', 'president', 'trump', 'congress', 'local', 'parties', 'insurrection', 'republican', 'voted']",
6,"['Huffpost Video', 'Lee Moran', 'Ed Mazza', 'S.V. Date', 'Jonathan Lemire', 'Ryan Grenoble']","The lies Trump told at CPAC about the election and his record were not new, but his request for supporters to give money to his new political committee was a first.","['election', 'political', 'money', 'trump', 'donald', 'told', 'request', 'supporters', 'lies', 'cpac', 'record']",
7,"['Christopher Mathias', 'Jennifer Bendery', 'Amanda Terkel', 'Huffpost Video', 'Ryan J. Reilly', 'Nick Robins-Early', 'Sebastian Murdock', 'Paul Blumenthal', 'Alanna Vagianos']","Jose Padilla, who the feds say fought with police during the Capitol attack, said on the online forum TheDonald that God was on his side.","['feds', 'fought', 'thedonald', 'forum', 'god', 'capitol', 'say', 'extremism', 'online', 'padilla', 'jose']",
8,"['David Moye', 'Mary Papenfuss', 'Jeremy Blum', 'David Bauder', ""Lydia O'Connor""]","The head of the new host, SkySilk of California, says Parler is ""taking the necessary steps to better monitor its content.""","['steps', 'media', 'parler', 'necessary', 'monitor', 'head', 'host', 'content', 'skysilk', 'taking', 'california']",
9,"['Huffpost Video', 'Huffpost Editors', 'Sarah Bourassa', 'Wendy Lu', 'Monica Torres', 'Kate Sheppard', 'Kate Auletta', 'Amanda Terkel', 'Noah Michelson']","At HuffPost, we believe that news is personal and real life is news. This principle comes to life in our intimate virtual events, where readers can meet HuffPost journalists face-to-face to discuss timely topics and ask questions – or join expert interviews and live Q&As. Members get free and discounted tickets, so join today. We hope to see you at one of our upcoming events!","['events', 'join', 'life', 'upcoming', 'virtual', 'tickets', 'huffpost', 'topics', 'timely', 'today']",
10,[],Tap here to turn on desktop notifications to get the news sent straight to you.,"['tap', 'videos', 'sent', 'turn', 'desktop', 'straight', 'notifications']",
11,['Breaking News Reporter'],"An internal watchdog found evidence that Elaine Chao committed potential ethics violations while serving as transportation secretary under President Donald Trump, but the Justice Department declined to open an investigation.

Evidence collected by the Department of Transportation’s inspector general found that Chao had used her taxpayer-funded staff and office to do various personal tasks, as well as to help promote her wealthy family’s shipping business and sales of her father’s biography, according to the IG report released on Wednesday.

“A formal investigation into potential misuses of position was warranted,” Deputy Inspector General Mitch Behm wrote in a Tuesday letter to Rep. Peter DeFazio (D-Ore.), chairman of the House Transportation and Infrastructure Committee.

Among the 38-page report’s concerns, the IG found that a planned trip to China by Chao in 2017 was set to improperly include her family members and several personal events. Ethical questions about the trip were raised by The New York Times and others just before it was canceled by her department.

There was evidence that Chao instructed her staff to check with the Homeland Security Department on the status of a work permit application for a student who had received an award from her family’s philanthropic foundation. Her staff was also instructed to assist her father with store repairs and to mail Christmas ornaments to her family.

MELINA MARA/POOL/AFP via Getty Images Sen. Mitch McConnell and former Secretary of Transportation Elaine Chao attend the inauguration of President Joe Biden on Jan. 20.

The IG’s office said it additionally looked into allegations that Chao improperly steered federal funds to her home state of Kentucky, which her husband, Senate Minority Leader Mitch McConnell (R), represents. It did not find any supporting evidence for this, however.

The IG’s findings were referred to the Justice Department’s Public Integrity Section and the U.S. Attorney’s Office for the District of Columbia in December 2020. Both offices declined to open criminal investigations.

Despite the documented ethics concerns, a Chao spokesperson claimed in a statement to Politico that the IG’s report “exonerates the Secretary from baseless accusations.”

DeFazio on Wednesday commended the IG’s office for conducting the review but said he was disappointed that it was not completed and released publicly while Chao was still at the Transportation Department. Chao, whose time in office was set to end with President Joe Biden’s inauguration on Jan. 20, resigned on Jan. 7 in response to the violent insurrection at the U.S. Capitol one day earlier.

DeFazio also expressed concern that the Justice Department declined to look into the allegations.

“Public servants, especially those responsible for leading tens of thousands of other public servants, must know that they serve the public and not their family’s private commercial interests,” he said.","['department', 'secretary', 'staff', 'chao', 'igs', 'personal', 'finds', 'cabinet', 'used', 'elaine', 'office', 'transportation', 'president', 'gain', 'public', 'inspector', 'mitch', 'general']",2021-03-04 12:09:04-05:00
12,[],"AUSTIN, Texas (AP) — Texas’ power grid manager was fired Wednesday amid growing calls for his ouster following February’s deadly blackouts that left millions of people without electricity and heat for days in subfreezing temperatures.

Bill Magness, CEO of the Electric Reliability Council of Texas, becomes the second senior official to depart in the wake of the one of the worst blackouts in U.S. history. The state’s top utility regulator resigned Monday.

Magness was given a two-month termination notice by ERCOT’s board in a meeting Wednesday night. The move came as the grid operator is now under investigation by the House Oversight Committee.

“During this transition period, Bill will continue to serve as President and CEO and work with state leaders and regulators on potential reforms to ERCOT,” the organization said in a statement.

Eric Gay/AP Bill Magnessm, of the Electric Reliability Council of Texas, is the second senior official to depart in the wake of one of the worst blackouts in U.S. history.

Magness, who made more than $876,000 in salary and other compensation in 2019, was the target of much of the outrage over the blackouts that began Feb. 15 when a winter storm plunged temperatures into single digits across Texas, causing skyrocketing demand for electricity to heat homes. Grid operators unplugged more than 4 million customers as the system buckled, which Magness has said was necessary to avert an even more catastrophic blackout that could have lasted months.

But the power did not flip back on for days for millions of residents, and the prolonged outages quickly escalated to a crisis of tragic proportions, as people trying to keep warm died of carbon monoxide poisoning and others froze to death. The storm and resulting blackouts have been blamed for more than 40 deaths in Texas, but the full toll may not be known for months.

At the Texas Capitol last week, lawmakers investigating the outages laid into Magness for his handling of the storm.

Over hours of testimony, Magness defended actions that he said kept the grid that serves most of Texas’ 30 million residents intact.

“It worked from keeping us (from) going into a blackout that we’d still be in today, that’s why we did it,” Magness said last Thursday. “Now it didn’t work for people’s lives, but it worked to preserve the integrity of the system.”

Republican Gov. Greg Abbott has accused ERCOT of misleading the state about the readiness of the grid, placing blame for the outages almost singularly on the grid operators. His outrage has not extended to the state’s Public Utility Commission, which oversees ERCOT and is led by Abbott appointees.

But the commission has also increasingly come under fire. Chairwoman DeAnn Walker resigned after struggling in two lengthy appearances before lawmakers following the blackouts, but said others should also accept responsibility for the outages.

At least six ERCOT board members have stepped down in the aftermath of the blackouts. Many of them lived out of state, a fact that only intensified anger toward ERCOT as the crisis unfolded.","['worst', 'ercot', 'state', 'magness', 'deadly', 'outages', 'work', 'grid', 'ceo', 'blackouts', 'fired', 'worked', 'texas', 'power']",2021-03-04 08:25:44-05:00
