,Authors,Body,Keywords,Date
0,[],IE 11 is not supported. For an optimal experience visit our site on another browser.,"['11', 'visit', 'supported', 'experience', 'optimal', 'browser', 'site', 'world']",
1,[],IE 11 is not supported. For an optimal experience visit our site on another browser.,"['asian', '11', 'visit', 'supported', 'experience', 'america', 'optimal', 'browser', 'site', 'nbc', 'culture', 'community', 'information']",
2,[],Author Monica Gomez-Hira's new novel explores the pull of culture — as well as the sometimes unfair expectations on Latinas as they navigate their teen years.,"['expectations', 'pull', 'monica', 'teen', 'navigate', 'latinas', 'unfair', 'gomezhiras', 'explores', 'novel', 'latino', 'nbc', 'culture', 'community', 'information']",
3,[],How walking my dog made my neighbors and I more comfortable around each other,"['dog', 'black', 'neighbors', 'comfortable', 'nbcblk', 'walking', 'nbc', 'culture', 'community', 'information']",
4,[],"Russell T. Davies said he pulled stories from his own life to portray the pain, joy and uncertainty of being young and gay in the '80s amid the backdrop of AIDS.","['pulled', 'uncertainty', 'young', 'joy', 'portray', 'life', 'davies', 'russell', 'gay', 'pain', 'community', 'latest', 'nbc', 'lgbtq']",
5,"['Ed Ou', 'Daniella Silva', 'Will N. Miller', 'Nirma Hasty', 'Ed Ou Is A Documentary Filmmaker', 'Cinematographer', 'Photojournalist Covering Breaking News', 'Long-Form Journalism Around The World.', 'Daniella Silva Is A Reporter For Nbc News Focusing On The Economic Recovery', 'Its Effect On Families']","MINNEAPOLIS — In the days after George Floyd was killed, Tyson LaBlanche watched a national protest movement arise outside his home.

Tyson, then 11, lived across the street from the corner where a police officer had knelt on Floyd’s neck until he stopped breathing.

As thousands of protesters gathered at East 38th Street and Chicago Avenue in late May and early June, Tyson rode his scooter among them. He watched as they transformed the entire square into a memorial. He listened as they passed around a megaphone, giving speeches from morning until night. He paused and knelt to touch flowers left on the street, scattered over block letters spelling Floyd’s name, and the names of other people killed by police officers.

Often wearing a black cap that a protester gave him, with the words “I Can’t Breathe” written in yellow, Tyson chanted Floyd’s name with the demonstrators. He wrote “Rest In Peace” on a mural.

“It’s scary because anything could happen to a Black person in America,” said Tyson, whose father is Black and mother is white. “I truly am afraid that something like what happened to George Floyd might happen to anybody out here, especially my dad.”

In those early weeks after Floyd's death, Jamie LaBlanche, Tyson's father, often walked through the crowds at his son's side. Jamie, 34, who also has a Black father and a white mother, wanted Tyson to see a movement that he hoped would change the world.

Standing with Tyson in June outside Cup Foods, the corner store where they used to buy Hershey’s bars and chicken tenders, Jamie gestured at the makeshift memorial full of bouquets of flowers, candles and signs.

“This is where it was. Right here,” he told his son. “Everybody's out here right now to make sure that this type of stuff never happens again.”

A memorial for George Floyd outside of Cup Foods, the corner store where Jamie and Tyson used to buy Hershey’s bars and chicken tenders. (Ed Ou / NBC News) A memorial for George Floyd outside of Cup Foods, the corner store where Jamie and Tyson used to buy Hershey’s bars and chicken tenders. (Ed Ou / NBC News)

Tyson and Jamie bore witness to the mass movement against police brutality and racial inequality as it unfurled in the heart of Minneapolis. Jamie has spent the past nine months grappling with teaching Tyson, the oldest of his three children, the importance of this historic moment while also protecting him. What was the line, he wondered, between educating his son about the trauma of violence and racism, and shielding him from that trauma?

""So many things I haven't been able to save him from seeing, hearing,” Jamie said. “It has made me question my fatherhood, and whether I'm doing a good job.""

Jamie, a delivery driver and part-time DJ, has always been transparent with Tyson about the risks of being a person of color. Jamie said he has been routinely harassed by the police since he was a teenager, and is stopped or pulled over at least once or twice a year. Once, officers pulled their guns on him and his friends when all they were doing was smoking weed, he said. He was 18.

“What I tell my son about racism and police brutality is he's a person of color and he can't forget that — no matter how light his skin is,” Jamie said. “He's going to have the same troubles that I've had and the same troubles that my father had. Just going to be a little bit different.”

Jamie LaBlanche, center, with Tyson outside their Minneapolis home; they could see the protests from their backyard. (Ed Ou / NBC News) Jamie LaBlanche, center, with Tyson outside their Minneapolis home; they could see the protests from their backyard. (Ed Ou / NBC News)

Protesters rally for racial justice and police accountability at the site where George Floyd was killed by the police in Minneapolis. (Ed Ou / NBC News) Protesters rally for racial justice and police accountability at the site where George Floyd was killed by the police in Minneapolis. (Ed Ou / NBC News)

Tyson used to want to become a police officer. When he saw law enforcement officers at the local Dairy Queen, he would give them a fist bump.

“But then once people started dying around me that had been killed by the police,” he said, “I kind of lost that.”

‘I think about him every day’

Floyd’s death wasn’t Tyson’s first experience with losing someone at the hands of police.

His father’s friend, Brian Quiñones, was shot and killed by police in September 2019. Tyson and Jamie have been mourning him ever since, attending vigils and memorials with Quiñones’ family. At these gatherings, Jamie plays music created by Quiñones, a 30-year-old aspiring hip-hop artist — a DJ keeping his friend’s memory alive.

Brian Quiñones was shot and killed by police in September 2019. (via Ashley Quiñones) Brian Quiñones was shot and killed by police in September 2019. (via Ashley Quiñones)

The final minutes of Quiñones’ life were livestreamed on his Facebook account.

He was shot and killed by police after a pursuit in suburban Minneapolis ended with him stepping out of his car with a knife in his hand. His family has said he was suffering from mental health issues and depression. Quiñones had just released his latest album that day.

In emergency dispatch audio, officers could be heard yelling “drop the knife” before gunshots rang out.

“He was murdered for being mentally unstable and needing help,” Jamie said. “I think about him every day.”

The officers, who fired 18 bullets, were not charged; the county prosecutor called their use of force “necessary, proportional, and objectively reasonable.”

Tyson watched his father break down repeatedly in the days and weeks following his friend’s death, and struggled with seeing him suffer.

“I just felt bad for my dad that he had to go through such a loss,” Tyson said. “I feel like it’s not fair to him that he had to go through all that.""

Quiñones’ death moved Jamie to become active in the movement against police brutality. But his activism has driven a wedge between him and his younger sister, a sheriff’s deputy in a neighboring county. When they talk, they often argue. He feels she’s refusing to acknowledge the systemic racism built into policing; she has said the officers who shot Quiñones responded appropriately based on their training. The tension between them has only gotten worse since Floyd was killed, and they haven’t spoken in months, Jamie said. (Jamie’s sister declined to be interviewed.)

The deaths have changed how Tyson views the police, too.

“I understand you want to go back to your family,” Tyson said, in response to a question from a reporter about the way police justify fatal shootings. “But because of what you did, somebody else can’t go back to their families. George Floyd had two daughters and he never got to say goodbye to them.”

‘Your voice is important’

Two weeks after Floyd was killed, Tyson and Jamie attended a memorial and balloon release in Powderhorn Park, about a mile from their home, for the family and friends of those who had been killed by police, a grim bond tying them all together.

Tyson, wearing his black “I Can’t Breathe” cap and a white T-shirt with the names of people killed by law enforcement, watched as people held multicolored balloons and said the names of their loved ones.

Quiñones’ widow, Ashley, stood on a picnic table.

“My husband was Brian Quiñones. He was murdered by the police on September 7th of 2019,” she said.

Then she brought Courteney Ross, Floyd’s girlfriend, up to the table to speak.

“Floyd is here with us,” Ross said, struggling to get out the words. “He loves us. Thank you, father God, for giving us Floyd.”

Some in the crowd of dozens cried; others held one another.

Tyson hadn’t planned to say anything, but suddenly he felt moved to speak. He climbed onto the picnic table and faced the crowd.

“I loved somebody that died. His name was Brian Quiñones and they killed him,” Tyson said, his voice breaking. (Ed Ou / NBC News) “I loved somebody that died. His name was Brian Quiñones and they killed him,” Tyson said, his voice breaking. (Ed Ou / NBC News)

“We shouldn't have to see any more innocent Black men on the ground,” he said, raising his voice to be heard.

The crowd cheered him on.

“We shouldn't see police driving by and just seeing an innocent man and being able to kill them with no justice,” he continued.

The crowd cheered again.

Tyson lifted his black cap and briefly smiled. He paused.

“I loved somebody that died. His name was Brian Quiñones and they killed him,” he said, his voice breaking.

“Say his name, baby,” someone called.

Tyson wiped his eyes.

“Brian Quiñones!” he said, and the crowd chanted the name with him.

A single tear fell down Tyson’s cheek. He adjusted his cap again.

“I love every single one of you that had to lose somebody over these years,” he said. “And I'm so sorry.”

The crowd clapped and cheered as he finished. Tyson wiped his face with his T-shirt.

Jamie pulled Tyson into a hug. The two held each other tight as Jamie began to weep.

“I love you,” he told his son.

“I had to say it,” Tyson said.

“I know,” Jamie replied, looking his son in the eyes. “I’m so glad you said that.”

Jamie held his son’s chin.

“Your voice is important,” he said. “Not only to me, but to everybody. And you just proved that right now.”

(Ed Ou / NBC News) (Ed Ou / NBC News)

‘Struggling on all fronts’

The corner where Jamie lived with his fiancée, Sami, their two children, Adelina, 4, and Jerome, 2, and Tyson, Jamie’s son from a previous relationship, became known as George Floyd Square. By day, it remained a gathering point where people came to remember Floyd and rally for racial equality.

At night, however, the square could take on a different tone. Jamie grew up in the area and there had always been gang activity, he said, but it had been heavily populated with foot and street traffic.

After the streets were blocked off after Floyd’s killing, Jamie noticed a rise in gang violence and shootings, which he saw as people taking advantage of fewer police officers being in the area. The Minneapolis Star Tribune reported that 11 people were shot near the intersection in the seven weeks after Floyd’s death, and that police were heard on scanners saying they would not respond to reports of gunfire in the square unless there was a victim. Police, meanwhile, said they were doing their jobs amid a “historic” crime surge and ongoing civil unrest.

While before Jamie had heard gunfire in the distance, now it was right at his door. Stray bullets pierced windows in the family’s home and lodged in walls. No one was hurt, but Jamie and Sami were terrified for their children’s safety.

One night in June, Jamie carried Jerome in his arms and led Adelina down to their new bedroom — in the basement.

He laid Jerome in a crib, wrapped him with a blanket and gave him a bottle of milk.

“Goodnight little baby, I love you,” he said, touching his son’s forehead before turning off the light.

The children would be sleeping there now, where Jamie and Sami hoped they would be safer than in the first-floor bedrooms.

Jamie, right, with his daughter Adelina and Brian Quiñones' cousin, Julio Rosario. (Ed Ou / NBC News) Jamie, right, with his daughter Adelina and Brian Quiñones' cousin, Julio Rosario. (Ed Ou / NBC News)

The ongoing violence and tensions were taking a toll on Tyson, too. He felt always on guard, constantly looking outside to see and hear what was going on. He began to have trouble sleeping and would wake up in the middle of the night to gunfire.

Sometimes he found himself wishing Floyd’s death hadn’t happened so close to his home.

“He’s struggling on all fronts, just like I am,” Jamie said of his elder son. “I don’t know if I'm the one that’s doing harm to him by us being here.”

Eventually, it was too much. In midsummer, Jamie and Sami began looking for a new place to live, somewhere quieter, outside the city. But the search dragged on for months.

While Sami worked as a teacher, Jamie was taking care of the children full-time — someone needed to stay home with Tyson to help him with remote school, and Jamie was too worried about the children’s safety to leave them with someone else. The family’s single income made it harder to find another place to live, Jamie said.

“This is hell, living here. Having to watch my son suffer all the time and be worried and anxious,” Jamie said. “I still hold guilt because I don't know whether or not this is going to have long-term negative effects on my kids.”

‘Trying to heal’

After months of looking for a new home, Jamie and his family moved to Monticello, a suburb about 50 minutes northwest of Minneapolis, in October. Jamie had some friends in the area, and it was one of the only communities within the family’s budget.

“I do feel like a sense of privilege that we were able to get the hell out of there even though it took forever,” Jamie said in January. “I feel guilty for the people of color who don’t have any other option.”

He still grapples with the idea of leaving the place he grew up in, and leaving behind many people he cares about, to move to a more conservative area. The town of less than 14,000 is more than 86 percent white and voted for Donald Trump last fall by a nearly 20-point margin.

Jamie said leaving George Floyd Square was both “so comforting and uncomfortable at the same time.”

“I don’t know if we know where we fit in yet,” he said. “But we’re trying to heal, and get into a more ‘normal’ functional type of everyday life.”

Jamie and Tyson have both started therapy. Jamie, who works as a delivery driver for Papa John’s, said he’d recently been offered a management position there. He’s focusing on work and his role as a father, but he also wants to continue fighting for justice for Quiñones.

Tyson had mixed feelings about the move. He missed his friends and the familiar faces he used to see in the square. But in their old neighborhood, he felt that his family’s lives were in danger. He still has trouble sleeping and is afraid of the pop of fireworks.

The new neighborhood has been quiet and feels safer. “I feel a lot better not having to worry as much,” Tyson said.

Jerome plays with Tyson and Jamie at their new home in Monticello, Minn. (Drew Arrieta / for NBC News) Jerome plays with Tyson and Jamie at their new home in Monticello, Minn. (Drew Arrieta / for NBC News)

But Tyson has also felt uncomfortable. One time, he said, a convenience store clerk, who was wearing a Trump-themed mask, accused him of shoplifting and made him empty his bag; he believes she targeted him because he was wearing his “I Can’t Breathe” hat and a Black Lives Matter mask. He said another worker saw what was happening and apologized, allowing him to leave.

Generally, though, Tyson said he’s making friends in his new neighborhood, and is happy to sometimes just be bored. He rides his bicycle around even in the snow, plays sports video games with Jamie and searches for his siblings during hide-and-seek. For his 12th birthday recently, some friends from Minneapolis visited, and they all went sledding together.

“I felt amazing. I rarely get to say that. That one moment probably made my whole month,” Tyson said.

He added, “I get to be a kid now.”","['ed', 'george', 'reckons', 'floyd', 'minneapolis', 'tyson', 'growing', 'killed', 'violence', 'jamie', 'quiñones', 'block', 'nbc', 'family', 'ou']",
6,['March'],"After George Floyd was killed by police across the street from their home, Jamie LaBlanche and his 11-year-old son, Tyson, struggled to confront their own trauma as the mass movement against police brutality and racial inequality unfurled on their block","['intersection', 'square', 'george', 'floyd', 'struggled', 'fatherhood', 'trauma', 'tyson', 'racial', 'mass', 'movement', 'heart', 'unfurled', 'lablanche', 'son', 'street']",
7,"['Phil Helsel', 'Phil Helsel Is A Reporter For Nbc News.']","The House on Wednesday passed a police reform bill that would ban chokeholds and overhaul qualified immunity protections for officers.

The George Floyd Justice in Policing Act, H.R. 1280, passed 220-212 — although a Republican representative said he'd voted yes by mistake and changed the official record to reflect his opposition.

Rep. Lance Gooden, R-Texas, tweeted that he'd pressed the wrong button and voted for the bill by accident.

A version of the bill passed last year but stalled in the Senate, which was then under Republican control. The House bill passed Wednesday night still has to go to the Senate, where it will need at least 10 Republican votes for passage.

The bill is named after Floyd, the Black man who died May 25 after a white Minneapolis police officer knelt on his neck for minutes. The officer, Derek Chauvin, was fired, and he faces charges of second-degree murder and manslaughter. His trial and jury selection are scheduled to begin Monday.

The bill, among other things, would ban neck restraints and ""no knock"" warrants in drug cases at the federal level. It would also reform qualified immunity, which is a doctrine that makes it difficult to sue officers.

Some places have already taken such steps. Colorado last year ended qualified immunity as a defense for officers in state courts.

The Biden administration threw its support behind the bill Monday. The White House said trust between law enforcement and communities can't be rebuilt unless police officers are held accountable for abuses of power.

Rep. Karen Bass, D-Calif., who introduced the bill, said she is confident that House members will be able to work with the Senate to get it passed. She said that after the last bill passed, ""many of our Republican colleagues said they thought they could get to yes on this, but they had some difficulties.""

Download the NBC News app for breaking news and politics

""One of the things that has happened in the last 12 months, though, is that many states moved ahead without us, and they started passing reforms,"" Bass said. ""So, this time, when we sit down to meet, we can talk about reforms that are already in place.""

Benjamin Crump and Antonio Romanucci, attorneys for the Floyd family, said that on behalf of the family ""we are deeply gratified and grateful"" in House leadership, and they urged the Senate to pass the bill.

""This represents a major step forward to reform the relationship between police officers and communities of color and impose accountability on law enforcement officers whose conscious decisions preserve the life or cause the death of Americans, including so many people of color,"" they said in a statement.","['reform', 'george', 'floyd', 'act', 'immunity', 'senate', 'house', 'officers', 'passes', 'qualified', 'bill', 'named', 'republican', 'passed']",2021-03-04 04:48:00+00:00
8,"['Dartunorro Clark', 'Dartunorro Clark Is A Political Reporter For Nbc News.']","The House on Wednesday passed the For the People Act, a sweeping bill that seeks to change campaign finance, voting and ethics laws.

The bill would expand access to the ballot box by creating automatic voter registration across the country, restoring the voting rights of the formerly incarcerated, expanding early voting and modernizing America's voting systems.

The House measure passed 220-210, with one Democrat joining all Republicans in voting against it.

The bill would also strengthen oversight of political lobbying and campaign finance by preventing members of Congress from serving on corporate boards and requiring presidents to release their tax returns.

Rep. John Sarbanes, D-Md., first introduced the legislation, also known as H.R. 1, in 2019, when it passed the House but it stalled in the Senate, which was controlled by Republicans at the time. He reintroduced the act in January.

""The 2020 election underscored the need for comprehensive, structural democracy reform. Americans across the country were forced to overcome rampant voter suppression, gerrymandering and a torrent of special-interest dark money just to exercise their vote and their voice in our democracy,"" Sarbanes said in a statement.

Former President Donald Trump promised to release his financial records in full, but he ultimately refused to release his tax returns while he was president and as a candidate. Since his election defeat, Republican state legislators have proposed tighter voting restrictions.

Download the NBC News app for breaking news and politics

The White House Office of Management and Budget released a statement Monday in support of the bill, which would also commit to restore the Voting Rights Act, combat voter purging and reform redistricting.

President Joe Biden said in a statement Thursday that he would work with Congress to refine and advance the bill and applauded its passage following the events leading up to the Jan. 6 assault on the Capitol and state-level efforts to pass restrictive voting laws.

""The right to vote is sacred and fundamental — it is the right from which all of our other rights as Americans spring,"" Biden said in touting the bill's provisions. ""This landmark legislation is urgently needed to protect that right, to safeguard the integrity of our elections, and to repair and strengthen our democracy.""

However, the filibuster may stand in the way of the bill's passage in the Senate.

White House press secretary Jen Psaki was asked Monday whether Biden supports abolishing the filibuster to pass the bill.

""The president is committed to protecting the fundamental right to vote and making it easier for all eligible Americans to vote,"" she said. ""We're not going to get ahead of the process. The president's view on the filibuster is well known. He has not changed that stance.""","['vote', 'voting', 'release', 'president', 'house', 'sweeping', 'rights', 'passes', 'voter', 'bill', 'ethics', 'passed', 'right']",2021-03-04 13:24:00+00:00
9,"['Mark L. Wolf', 'Mark L. Wolf Is A U.S. District Judge In Massachusetts', 'Chair Of Integrity Initiatives International.']","Before the unsuccessful military coup to remove Recep Tayyip Erdoğan as president of Turkey in 2016, I was working with the leaders of the Turkish Justice Academy. They were honest, able judges who were inspired by the ability of judges in the United States to be impartial and independent of the president. Among other things, I was teaching about the importance of judicial proceedings' and records' being open to the media and the public, as they are in the United States as a way to hold judges accountable.

Confidence in the U.S. judiciary at home and abroad would be enhanced if the Supreme Court were, by statute, required to broadcast its proceedings.

The day after the attempted coup, Erdoğan had all of my Turkish colleagues, and almost 3,000 other judges and prosecutors, arrested off of lists prepared before the coup for allegedly being part of a terrorist network. My colleagues report that many judges died in prison, some by suicide. Others were jailed for several years, and some still are, as Erdoğan has solidified his control of the judiciary.

With honest, independent judges out of the way, Erdoğan proceeded to jail thousands of professors, journalists and politicians, as well. This followed a pattern. Three years earlier prosecutors brought corruption charges against members of Erdoğan's Cabinet and released a recording purported to reveal Erdoğan telling his son to get tens of millions in cash out of his house before it was searched. Erdoğan promptly removed the prosecutors.

In essence, judges and prosecutors in Turkey have been persecuted for striving to be like judges and prosecutors in the United States, working independently as part of the system of checks and balances needed to protect against the abuse of power by elected officials, which is important to democracy. Their plight is a reminder of the historic importance of the United States as an inspiring model and of the countless people around the world who have the courage of our convictions.

Persecuted judges in Turkey and elsewhere should be encouraged by the House of Representatives' vote Wednesday on sweeping legislation, known as H.R. 1, to diminish unethical conduct by elected officials, including the president and the vice president, and by Supreme Court justices as well. Among other things, the bill would require a code of conduct for justices, who are the only U.S. judges not governed by an ethical code.

As the Brennan Center for Justice has reported, ""Over the last two decades, almost all members of the Supreme Court have been criticized for engaging in behaviors that are forbidden to other federal court judges."" These include participating ""in partisan convenings and fundraisers, accepting expensive gifts or travel, making partisan comments at public events or in the media, or failing to recuse themselves from cases involving apparent conflicts of interest, either personal or financial.""

The legitimacy of the Supreme Court depends on public confidence that its decisions are principled, not political. Rightly or wrongly, that confidence has been eroded by decisions perceived to be partisan, as well as by the partisan rancor accompanying recent confirmation battles. A code of conduct for the justices would increase public confidence in their decisions.

In addition, as the United States regularly advocates for transparency as a check against misconduct and corruption, confidence in the U.S. judiciary at home and abroad would be enhanced if the Supreme Court were, by statute, required to broadcast its proceedings and allow the broadcasting of proceedings in the lower federal courts. Senators who have unsuccessfully introduced legislation to do so can now renew that effort when acting on H.R. 1.

However, if the United States is to remain an inspiring model of democracy, much more than improvements concerning the Supreme Court is necessary. The new legislation recognizes this, as it is intended to ""strengthen ethics rules for public servants, and implement other anti-corruption measures for the purpose of fortifying our democracy."" Those measures include requiring the president and the vice president to disclose their tax returns, prohibiting them from profiting from public expenditures and generally requiring that they adhere to the same ethical standards as all other government employees. H.R. 1 also includes measures to protect against foreign influence in U.S. elections.

However, the United States must do more than repair its democracy to restore its influence internationally. As Samantha Power, nominated by President Joe Biden to head the U.S. Agency for International Development, has rightly recognized, autocrats and populists are on the rise, and they are almost invariably corrupt. ""Corruption is a key area of vulnerability for autocrats,"" Power has noted. There is a ""desire of citizens around the world to see corruption and lawlessness investigated by independent bodies, a general principle they should know the United States stands behind.""

Recognizing this, President Biden is making promoting democracy and combating corruption pillars of his foreign policy. Among other things, he has pledged to convene a Summit for Democracy this year to galvanize commitments from other countries for ""fighting corruption, defending against authoritarianism, and advancing human rights in their own nations and abroad.""

Critics, however, contend that in view of the dysfunction of American democracy that culminated in the insurrection at the Capitol and the second impeachment of President Donald Trump, the United States no longer has the standing to lecture other countries. They argue that it would be counterproductive and, indeed, hypocritical for the president to invite countries such as Turkey, Hungary, Poland and the Philippines — ""all U.S. allies or partners with leaders who have taken notable steps away from democracy."" Thus, the critics assert, this is the wrong time for President Biden's summit.

However, the events that have prompted this criticism actually make this the ideal time for the United States to host a summit. That summit should include democratic allies, such as Canada and the United Kingdom. If it is necessary to invite the leaders of Turkey and other increasingly undemocratic countries, there should also be a seat at the table for citizens struggling for democracy there.

The summit should be one at which the United States seeks to learn as well as to lead. The challenges to democracy in this country today are familiar to many around the world. For example, as Yale professor Timothy Snyder explained in ""On Tyranny,"" Ukraine in 2013 responded swiftly and effectively to a Russian disinformation campaign aimed at undermining its presidential election, while the United States was slow to recognize and try to rebut a comparable Russian effort in 2016. Snyder wisely concluded that, ""since so much of what has happened [in the United States] is familiar to the rest of the world or from recent history, we must observe and listen.""

The United States can both listen and lead. The United States still has formidable independent media that expose corruption, as well as impartial judges who hold even presidents accountable. We often elect those who combat corruption to high office and elevate others to judgeships. (I myself was appointed a federal judge after being the chief federal prosecutor of public corruption in Massachusetts.) And, despite the insurrection at the Capitol, the world has again seen a peaceful transition of power that would be inconceivable in countries ruled by authoritarian kleptocrats.

Biden is making promoting democracy and combating corruption pillars of his foreign policy. Among other things, he has pledged to convene a Summit for Democracy.

Nevertheless, the power of the United States' example is not enough. The United States should demonstrate its commitment to those people abroad who yearn to see autocratic kleptocrats held accountable. The United States should, for example, amend the Foreign Corrupt Practices Act to authorize the prosecution of kleptocrats who demand bribes, as well as the businesses that pay them. In addition, the United States should support the growing movement to create an International Anti-Corruption Court that has been catalyzed by Integrity Initiatives International, which I chair. The court would be a fair forum for prosecuting corrupt leaders who control the administration of justice in the countries they rule — a court of last resort similar to, but distinct from, the International Criminal Court.

Some Turkish judges have been released from prison and made dangerous escapes to other countries. They were dismayed by events in the United States after the 2020 presidential election. They are now encouraged by President Biden's pledge to promote democracy and combat corruption internationally and to convene a summit to prompt other countries to join us in that effort.

The United States has long inspired these judges and many others not because it is perfect, but because it has been properly perceived as striving to give integrity to its democratic principles. The United States now has the opportunity to give renewed integrity and energy to its never-ending quest to deserve and preserve its standing as the world's best hope. President Biden's initiatives have the potential to do that.

Related:","['vote', 'ethics', 'president', 'house', 'l', 'supreme', 'mark', 'judges', 'wolf', 'helps', 'public', 'restore', 'corruption', 'countries', 'democracy', 'states', 'credibility', 'court', 'united']",2021-03-04 09:34:00+00:00
