,Authors,Body,Keywords
0,['Daniel Boffey'],"If Lord Frost were seeking to put a marker down on how he would engage with the EU, it wasn’t necessary. His robust style is well appreciated in Brussels after a tumultuous year of trade and security talks, including the first attempt to break international law by violating the terms of the withdrawal agreement through the infamous internal market bill.

There is then some confusion in Brussels and Dublin at Wednesday’s announcement about trade at the border between Northern Ireland, which in effect remains in the single market for goods, with the rest of the UK firmly outside.

The government announced that rather than impose a range of red-tape and checks due to come into force on 1 April under the withdrawal agreement, they would unilaterally extend until October grace periods on paperwork relating to parcels from Britain and goods heading to the shelves of Northern Ireland’s supermarkets.

That might be a perfectly sensible thing to do. UK officials said it was simply a reflection businesses and border systems in Northern Ireland were not yet ready for the consequences of the full-fat Brexit, and in light of the special circumstances in Northern Ireland, it was necessary to take some pragmatic steps to ease people’s understandable frustration. Loyalist paramilitary groups have let it be known they have withdrawn their support for the Good Friday agreement in protest at Northern Ireland’s Irish Sea trade border with the rest of the UK, which has caused genuine issues already.

Yet, what is confusing to many EU officials, is that this move was done unilaterally – and now.

At the very last meeting of the joint EU-UK committee looking at all these issues, the British side had come away confident that agreement on an extension of grace periods would be found. The EU, led by the European commission’s vice-president, Maroš Šefčovič, had made a few demands. They wanted to know more about the UK’s long-term plan with respect to supermarkets and their suppliers and were seeking additional investment in digital solutions for traders.

Arlene Foster, the first minister of Northern Ireland, had been fiery in the meeting, memorably saying of the checks that had been done at the border, “not a sausage” of a problem had been uncovered in terms of risks to health and safety. The ruling DUP’s position is that the whole idea of checks between Northern Ireland and the rest of the UK remains a constitutional outrage and is a nonsense given the lack of divergence between UK and EU standards.

But sources who attended the meeting felt nevertheless there was an unsaid quid pro quo: if the UK could firm up how it planned to ensure EU border requirements were met while keeping a Tescos in Enniskillen as well stocked with British products as one in Enfield, then further time could be found before the full gamut of checks would be imposed at the border.

Why, then, EU officials ask, move ahead with what the commission believes is a second attempt to break international law, echoing the most contentious clauses of the internal market bill tabled last year?

One of the consequences is that the European parliament has engaged in some sabre rattling over whether it will ratify the trade and security deal which is only provisionally in force and would fall away without MEPs backing. The EU has also threatened legal action through the European court of justice. Being taken to court for failing to live up to the obligations of an international treaty is not necessarily the greatest advert for global Britain as it seeks trade deals around the world, including with the US, where the president, Joe Biden, has in the past made public his interest in what happens in Northern Ireland.

The UK insists the EU is overreacting. The move they made is technical, not political. But the EU is not convinced. As ever, it looks to the internal politics of Westminster for answers and it has been a tricky patch for the former UK negotiating team.

Frost’s former deputy Oliver Lewis resigned after being accused by the prime minister of briefing against Gove. Frost himself was supposed to be given the job of national security adviser this year but was handed a new role of Brexit and international policy representative without any real levers to pull. He reportedly threatened to resign unless he was given genuine powers, after which he was elevated to the cabinet.

Frost then may not have had to convince the EU of his pugnacious character, but perhaps he did need to remind the prime minister of his value to him? If so, we shall have to see at what cost. But as the trade and security talks showed, he is happy to push matters to the edge.","['agreement', 'eu', 'northern', 'security', 'lord', 'uk', 'border', 'checks', 'does', 'delay', 'ireland', 'loyalty', 'international', 'deal', 'signify', 'frosts', 'trade']"
1,['Patrick Wintour'],"A potential roadblock to talks between Iran and the US on the future of the nuclear deal has been cleared after the UN nuclear inspectorate said it had won Iran’s agreement to return to Tehran to hold focused talks on doubts over the veracity of the country’s previous declarations about its nuclear sites.

Rafael Grossi, the director general of the UN’s International Atomic Energy Agency, said Iran and IAEA inspectors had been talking past each other, with Iran failing to provide credible answers to the inspectorate’s questions. He said he had decided “we either continue with this merry-go-round or try something else”.

He said Iran had now agreed to take part in direct, focused technical meetings at the beginning of April, with the aim for inspectors of reporting back to an IAEA board meeting in June.

The agreement reached over the past 48 hours means European countries will not go ahead with plans to table a censure motion against Iran at an IAEA board meeting on Friday.

Iran had said it would in effect end its cooperation with the IAEA if the motion went ahead, which would have damaged hopes of starting informal talks between Iran and the US over how both sides could come back into compliance with the deal.

The French president, Emmanuel Macron, had warned his Iranian counterpart, Hassan Rouhani, that the chances of reviving the nuclear deal would collapse without a clear gesture from Iran.

In response to Iran’s offer to clarify its disclosures, Europe said it would hold off on its censure motion to give time for diplomacy.

Iran has said it will not hold talks with the US if sanctions remain in place, and the US says it will not hold talks until Iran takes further steps to come back into compliance.

Iran’s foreign ministry spokesperson, Saeed Khatibzadeh, said: “Today’s developments can keep open the path of diplomacy initiated by Iran and the IAEA.”

The Iranian ambassador to the IAEA, Kazem Gharib Abadi, tweeted that “due to extensive diplomatic consultations … a glimpse of hope is looming to prevent unnecessary tension”.

This week a report in the Iranian Vatan-e-Emrouz newspaper said Tehran had “temporarily suspended the production of uranium metal on the order of [Rouhani]”. The government in Tehran has not disputed the accuracy of the report.

The production of uranium metal goes against a 15-year ban in the nuclear deal on “producing or acquiring plutonium or uranium metals or their alloys”. Grossi said he had not been informed by Iran about anything related to uranium metal.

Iran says the uranium metal production is part of its plans to provide advanced fuel for a research reactor in Tehran.

Grossi did not go into details as to why he thought his new technical process would bring more credible responses than those provided so far, but he is clearly determined not to see the process abandoned prematurely.

Late last month Iran suspended some IAEA inspections as US sanctions had not yet been lifted, which was described by Grossi as a “huge loss” for the agency. However, after two days of talks between Grossi and Iranian officials in Tehran, a three-month arrangement was agreed under which Iran pledged to keep recordings “of some activities and monitoring equipment” and hand them over to the IAEA as and when US sanctions are lifted.

Grossi said the IAEA had a series of unanswered questions, but he did not go into the details. It has been previously reported that Iran might be drilling a uranium metal disc that experts say could be used to create material for a neutron initiator, a key component of a nuclear weapon. A second suspicion was that nuclear material had been introduced at a site where Iran may have tested high explosives that can be used to detonate a nuclear weapon.

The agency is also asking Iran about another undeclared site where illicit uranium conversion and processing may have taken place, it said.","['hold', 'iranian', 'roadblock', 'iaea', 'tehran', 'potential', 'talks', 'nuclear', 'grossi', 'deal', 'clear', 'uranium', 'iran', 'metal']"
2,['Damian Carrington'],"People waste almost a billion tonnes of food a year, a UN report has revealed. It is the most comprehensive assessment to date and found waste was about double the previous best estimate.

The food discarded in homes alone was 74kg per person each year on average around the world, the UN found. In the UK, which has some of the best data, the edible waste represents about eight meals per household each week.

The UN report also includes data on food waste in restaurants and shops, with 17% of all food dumped. Some food is lost on farms and in supply chains as well, meaning that overall a third of food is never eaten.

The waste damages efforts to help the billions of people who are either hungry or cannot afford a healthy diet, but also harms the environment. Food waste and loss causes about 10% of the emissions driving the climate emergency, and intensive farming is a key cause of the biodiversity crisis and global pollution.

If food waste was a country, it would have the third highest emissions after only the US and China. But the researchers said cutting food waste was one of the easiest ways for people to reduce their environmental impact. “Yet this potential has been woefully underexploited,” said the report.

Food waste had been thought of as a problem mostly affecting rich countries. But the UN report found levels of waste were surprisingly similar in all nations, though data is scarce in the poorest countries.

The researchers said nobody bought food with the intention of throwing it away and that small amounts discarded each day might seem insignificant. Therefore increasing people’s awareness of waste was key, they said, such as via separate food waste collections by local authorities.

Government and corporate action was needed, but individual action was important, the experts said, such as measuring portions of rice and pasta, checking the fridge before shopping and increasing cooking skills to use what was available. The greater time available for planning and cooking in homes during coronavirus lockdowns in the UK appears to have reduced waste by 20%.

“Reducing food waste would cut greenhouse gas emissions, slow the destruction of nature through land conversion and pollution, enhance the availability of food and thus reduce hunger and save money at a time of global recession,” said Inger Andersen, the head of the UN Environment Programme (Unep), which published the report. “Businesses, governments and citizens around the world have to do their part.”

Marcus Gover, the head of Wrap, an NGO that helped write the report, said: “We are so used to wasting food that we’ve forgotten its value, and the cost that feeding our growing global population has on the natural world. Like it or not, we in our homes are the most significant part of the problem.”

The report was produced to support global efforts to meet the UN’s sustainable development goal of halving food waste by 2030. It found 11% of all the food sold to consumers was wasted in homes in 2019, with restaurants discarding 5% and food shops dumping 2%.

Good data on household waste was available for countries representing 75% of the world’s population. Food waste includes edible and inedible parts, such as rinds and bones. The mix is about 50:50 in some high-income countries but unknown elsewhere.

“However, even if some of that waste can’t be consumed by humans, there are environmentally preferable ways in which it can be managed, [for example] by diverting it to animal feed or composting,” said Clementine O’Connor at Unep. “What we want to drive home is we need to get food waste out of landfills.”

“The UK has really taken a leading role in food waste reduction and is one of very few countries that has achieved a great reduction,” she added. Between 2007 and 2018, edible household food waste was cut by almost a third, according to Wrap, though overall food waste was still 19% in November 2020.

Carina Millstone, of the food campaign group Feedback, said the UN report was seminal and showed food waste action must be a high priority for governments ahead of the Cop26 climate summit in November: “As hosts, the UK must lead the way – it can do so by measuring and tackling food waste on farms, and by introducing mandatory food waste measurements and reduction targets for businesses.”

Wrap started a food waste action week in the UK on Monday to raise awareness of the issue and drive change. Nadiya Hussain, the chef and TV presenter, is a supporter. She said: “From avoiding buying or preparing too much to storing food correctly, the week is about helping people make the most of their food and helping protect our planet.”

Martina Otto, of Unep, said: “If you don’t take action on food waste, it’s a triple lose. It’s not only the food that we’re chucking out, but also all the natural and financial resources that went into producing that food. So let’s make it a triple win.”","['global', 'tonnes', 'waste', 'homes', 'uk', 'data', 'countries', 'food', 'action', 'wasting', 'world', 'reveals', 'report', '1bn']"
3,['Rajeev Syal'],"Priti Patel has reached a six-figure settlement with a senior civil servant following claims that he was forced out of his job for intervening in her alleged bullying of fellow staff, it has emerged.

Sir Philip Rutnam, the former permanent secretary in the Home Office, had threatened to take the home secretary to an employment tribunal hearing in September.

It was the first time that a secretary of state has been pursued to an employment tribunal by a former permanent secretary, the most senior civil servant in a government department.

Rutnam said in a statement issued through his union: “I am pleased to say that the government has today settled the claims that I brought against them and which were due to be heard in an employment tribunal in September.

“This settlement resolves my own case. The FDA is continuing to pursue in separate proceedings the wider issues that have been raised,” he said.

Patel will be under pressure to disclose the full amount paid out to settle the case as well as the costs. Rutnam was understood to have witnessed several incidents which he believed showed that the MP for Witham was bullying staff.

He resigned from his post as permanent secretary of the Home Office on 29 February 2020 and subsequently began legal proceedings against the Home Office.","['servant', 'secretary', 'reaches', 'rutnam', 'senior', 'proceedings', 'office', 'chief', 'exhome', 'tribunal', 'philip', 'permanent', 'settlement', 'sixfigure', 'patel', 'priti', 'employment']"
4,[],"Nicola Sturgeon has said she will “get on with the job” of steering Scotland out of the coronavirus pandemic, as she accused opposition parties of prejudging the outcome of inquiries into her and her government’s conduct in relation to the investigation into sexual harassment allegations against Alex Salmond.

During angry exchanges at first minister’s questions on Thursday, Sturgeon told the Scottish Conservatives’ leader in Holyrood, Ruth Davidson: “I’m going to get on with the job that I suspect most people watching at home right now want me to get on with, which is leading this country through and out of a pandemic.”

A day after her marathon eight-hour evidence session to the Holyrood inquiry that is examining the Scottish government’s handling of the original complaints by two female civil servants, Sturgeon was challenged by opposition leaders about the last-minute release of the legal advice to the committee.

Despite two votes in parliament, the legal advice given to the Scottish government about Salmond’s judicial review of the process, which it lost at a cost of more than £600,000 to taxpayers, was only released to the committee the day before Sturgeon’s evidence, after the Scottish Conservatives threatened a no-confidence vote in the deputy first minister, John Swinney.

There remain outstanding documents that Swinney has undertaken to release on Thursday, and the no-confidence motion remains live, as does one that the Tories have also threatened against Sturgeon.

Davidson asked Sturgeon why her government had continued to “defend the indefensible” when government lawyers expressed significant concerns about the case.

The papers released on Tuesday evening contained the explosive revelation that Roddy Dunlop QC, one of Scotland’s leading lawyers, who was the government’s external counsel, had been furious that government officials failed to disclose critical evidence about the prior contact of the investigating officer with the two complainants.

Sturgeon said that, as she had stated in her evidence on Wednesday, there was “no question” that the case should be dropped until this new evidence emerged, and that the government was acting in accordance with the views of the law officers at the time.

03:37 Nicola Sturgeon: no plot against Alex Salmond – video

She said: “I answered questions for eight hours yesterday, I answered every question that was put to me and I intend to rest on that to allow both the committee and the inquiry into the ministerial code to conclude their work.”

In addition to the Holyrood committee’s inquiry, there is a separate independent investigation by James Hamilton, former director of public prosecutions for Ireland, into whether Sturgeon broke the ministerial code by misleading parliament over meetings with Salmond to discuss the allegations.

t Davidson said MSPs had “every right to question a first minister who is the head of a government that failed these two women”.

“I want everyone to understand how incompetent and secretive this government is,” she said, adding: “Because of legal advice that had to be dragged from this government under the threat of a vote of no confidence, we know that for weeks this government were definitively, without any doubt, ignoring legal advice.”

After Davidson accused her of breaking the ministerial code, Sturgeon hit back that the Tory MSP had “just shown her true colours all over again”.

“Just as on Tuesday night the Conservatives prejudged my evidence to the parliamentary inquiry, she’s just prejudged the outcome of the independent inquiry into the ministerial code. This is just about desperate political games for the Conservatives.”

The newly elected Scottish Labour leader, Anas Sarwar, said the exchanges between Sturgeon and Davidson “represent the worst of our politics”, but went on to press the first minister on the same subject, asking why it took the threat of a no-confidence vote for the government to act.

Sturgeon said: “I think it is now right and proper that we now allow the inquiry to do its work, allow the independent inquiry into the ministerial code to do its work, and we allow me to get on with the job I believe the majority of the country want me to focus on now, which is to continue to steer this country through a global pandemic so that we can through Covid, come out of lockdown and get back to normality.”","['nicola', 'legal', 'sturgeon', 'code', 'vote', 'scottish', 'allow', 'accuses', 'prejudging', 'opposition', 'outcome', 'evidence', 'inquiries', 'davidson', 'ministerial', 'inquiry']"
5,['Tom Phillips'],"The mayor of Rio de Janeiro has ordered a coronavirus “curfew” in the hope of sparing the seaside city a repeat of last year’s Covid-19 “genocide” when it was pummeled by the disease.

The nighttime prohibition, which Mayor Eduardo Paes said would last from 11pm to 5am, was announced as hospitals across Brazil buckled under the strain of a crippling upsurge in infections and the South American country suffered its worst day of losses since the pandemic began.

In an open letter, Brazilian scientists urged the federal government to declare an immediate 14-day lockdown, claiming that was now the only way to avert a catastrophe of “despair and deaths”.

“The country can no longer afford to wait,” the Observatório Covid-19 BR group warned, blaming the surge in infection on the collapse of social distancing, government inaction and the spread of the new, apparently more infectious P1 variant linked to the Amazon city of Manaus.

Such restrictions appear inconceivable under Jair Bolsonaro, the president and a Trump-admiring former paratrooper whose handling of the epidemic has been internationally condemned, earning him the nickname “Captain Corona”.

“If it’s up to me, there will be no lockdown,” the far-right populist declared on Wednesday as a record 1,840 fatalities took Brazil’s official death toll to nearly 260,000.

Brazil’s former health minister, José Gomes Temporão, said his country had suffered a complete leadership blackout at the moment it most needed direction.

“The truth is that our state governors and mayors have been abandoned to their own fates,” Temporão said, denouncing what he called Bolsonaro’s “criminal approach” to Covid-19.

“This isn’t just about omission or disorganization or incompetence,” Temporão added, highlighting Bolsonaro’s incessant undermining of containment measures, failure to acquire sufficient vaccines and anti-scientific promotion of unproven remedies such as hydroxychloroquine.

“We are talking about a determined, repeated, sustained, dogged stance which has made a point of destroying of all the country’s capabilities to fight the pandemic.”

Mayor Paes said Rio’s restrictions, which come into force on Friday and will initially last a week, were designed to avoid a repeat of “the genocide that Rio saw in 2020”. Shops, restaurants and bars will have to shut at 5pm while nightclubs, street markets and music venues must close. Samba parties are also outlawed.

“[Last year] twice as many people died in Rio as in São Paulo, which has twice the population. The goal is to stop this happening again in 2021,” Paes told reporters.

Critics say the measures are woefully inadequate. So far, Rio’s hospitals remain in better shape than in cities such as Porto Alegre, Salvador and São Paulo, where some intensive care units have completely run out of beds. But local doctors are bracing for a similar explosion in patients. “We’re preparing to get well and truly shafted,” one frontline doctor told the Guardian by text message.

Temporão said Brazil’s “prolonged agony” – which comes as some neighbours, such as Argentina, begin cautiously reopening – was in large measure the fault of one man.

“Today in Brazil we’re facing a political crisis, an extremely serious economic crisis, a social crisis, a public health crisis and an ethical crisis.

“Brazil is learning in a very harsh and sad way the price that a society pays for having a government that is utterly disconnected and oblivious to the fortunes of its fellow citizens,” he said.","['country', 'rio', 'mayor', 'curfew', 'crisis', 'imposes', 'covid', 'temporão', 'suffered', 'way', 'genocide', 'told', 'são', 'avert', 'repeat', 'twice', 'paes']"
6,['Laura Snapes'],"Ian Brown has pulled out of headlining the Neighbourhood Weekender festival in Warrington this September after claiming that all attendees require proof of vaccination.

Brown is a noted Covid sceptic, frequently using his Twitter account to spread disinformation about the virus and protections against it. “I refuse to accept vaccination proof as condition of entry,” he tweeted yesterday.

Promoter SJM Concerts said that it would “comply with the conditions outlined by the government through the local authority. No decisions will be taken by government until 21 June at the earliest.”

Brown previously appealed to festival promoters on Twitter asking them not to work with Sage and the government on vaccine passports, describing the situation as “the new nazi normal”.

Festival organisers recently told the Guardian that social distancing would be impossible at large-scale events. They would comply with suggested measures, whether rapid testing or vaccine passports.

The government has wavered on whether it will enforce vaccine passports. The vaccine minister, Nadhim Zahawi, called them “discriminatory”, but foreign secretary Dominic Raab has said that they are “under consideration”.

UK festivals have reported a sales spike since the government announced the roadmap out of lockdown last week, but organisers remain concerned about the possibility of last-minute cancellations owing to resurgences of the virus, particularly in the absence of a government-backed insurance scheme for live music events.

The government has been resistant to providing such a scheme. The spring budget added £300m investment to the £1.57bn culture recovery fund and saw the extension of the £500m insurance scheme protecting film and TV productions in the UK against the cost of Covid shutdowns until the end of the year.","['ian', 'festival', 'organisers', 'music', 'pulls', 'covid', 'passports', 'scheme', 'vaccination', 'row', 'virus', 'vaccine', 'twitter', 'insurance', 'brown', 'proof']"
7,['Robert Booth'],"Some care homes are planning to defy government demands to let relatives hold their loved ones’ hands on indoor visits from Monday as they say the risk of transmitting Covid-19 remains too high.

Following pressure from relatives and charities including Age UK, the government has told care operators to make physical contact possible from the start of next week using testing and PPE. But some have warned relatives they will not allow it.

Some have said they must wait until local directors of public health say it is safe, and some have postponed in-person visits altogether. Others have said no visits will happen until all residents have had their second dose of vaccine, according to the Relatives and Residents Association (RRA) and the Rights for Residents campaign.

Diane Mayhew, a co-founder of Rights for Residents, said one supporter had been told visits would not happen because they were “at the manager’s discretion”.

Helen Wildbore, the RRA’s director, said: “Lot’s of people won’t have had a meaningful visit since the first lockdown, and many families have stopped window visits because they are too distressing. In the last 24 hours we heard of one relative who has been told by their loved one’s care home that visits won’t go ahead until they have seen the guidance. They have been through a lot already so this is incredibly disappointing.”

Relatives’ groups had lobbied for an urgent restart to in-person visits to care homes allowing physical contact, with some families separated for months and reports of severe deterioration of isolated residents.

Guidance for the visits issued on Thursday states “there should not be close physical contact such as hugging” but says “risks [of transmission] can be managed and mitigated, and they should be balanced against the importance of visiting and the benefits it brings to care home residents and their families”. It says all care homes where there is no outbreak should seek to enable indoor visits.

This week relatives of residents at Pelham House, a care home in Folkestone, Kent, that lost half of its 20 residents to Covid in the first wave, were told visits would not go ahead.

The home said in a letter: “We feel that we need to postpone these visits until such a time that we feel they can be conducted in a way that poses the least possible risk to all our residents, staff and their families.”

The move disappointed some relatives. Suzanne Amos said she had not seen her mother for three months, and as her mother has a terminal illness caused by dementia she wanted to see her while her mother still recognised her.

“It’s exactly at this time that mum still recognises me that I want to make the most of the fact and go and visit,” she said. “For someone with dementia you need to be in the room with them or it is too confusing for them.”

Barchester, one of the largest care home operators with around 230 facilities, has asked the government to postpone the visiting plan, warning that lateral flow tests for visitors lack accuracy.

“If the government doesn’t respond to our request to delay the visiting for a few weeks, only until everyone’s had their second jab and the levels of virus are lower, then we will comply, but we have written to all of our relatives,” said Pete Calveley, the chain’s chief executive.

The guidance says vaccination is not a condition of visiting but is strongly recommended. From 12 April, two visitors could be allowed per person.

Last month as part of efforts to lift lockdown in stages in England, the health secretary, Matt Hancock, said that from 8 March all care home residents could be visited indoors by a single named individual, who would be allowed to make repeat visits.

Visitors will be required to have a test beforehand and to wear PPE during the visit. They will also be included in the regular PCR testing that care home staff receive. However, they will be “asked to avoid” closer contact than hand-holding, including hugging and kissing. The scheme has been designed with the involvement of England’s deputy chief medical officers and Public Health England.

Outbreaks in care homes fell to 157 in the last week of February, down from 692 in the first week of 2021. But anxiety about visitors reseeding infection amid loosening of some lockdown measures next week, including the reopening of schools, is running high among care home operators, who have seen more than 40,000 Covid-19 deaths across the UK.

“Providers have had such an awful time around this,” said Nadra Ahmed, the executive director of the National Care Forum. “There is nervousness.”","['care', 'week', 'homes', 'handholding', 'english', 'delay', 'told', 'visitors', 'residents', 'visits', 'allowing', 'relatives', 'visiting', 'contact']"
8,['Daniel Boffey'],"Europeans need to “get back to basics” and use quarantining to battle the rise in infection rates that has emerged in half the region over the last week, according to the World Health Organization.

Hans Kluge, the WHO’s director for Europe, said the latest data showed a 9% rise in new cases of Covid-19, in what would be a worrying development for overstrained health services across the continent.

While noting that vaccination programmes were already reducing transmission and hospitalisation, it would “take time” for the strategy to come to full fruition, he said.

Vaccinations have begun in 45 countries in the European region, according to the WHO. But the level of coverage remains low even among the 27 member states of the EU, where just 7% of the population has received a jab.

Kluge said: “Last week new cases of Covid-19 in Europe rose 9% to just above a million. This brought a promising six-week decline in new cases to an end, with more than half of our region seeing increasing numbers of new infections.

“We are seeing a resurgence in central and eastern Europe. New cases are also on the rise in several western European countries, where rates were already high.

“Continued strain on our hospitals and health workers is being met with acts of medical solidarity between European neighbours. Nonetheless, over a year into the pandemic our health systems should not be in this situation. We need to get back to the basics.”

Kluge said governments needed to invest more in the sequencing that could identify variants of coronavirus, and improve their testing, tracing and quarantine systems.

He also called on governments to do what they could to avoid “pandemic fatigue” leading to a breakdown in social distancing.

The coronavirus variant initially identified in the UK had been reported in 43 of 53 countries in the European region within Kluge’s remit, while the South African variant had been found in 26. The variant identified in Brazil and Japan had been discovered in 15 European countries.

Kluge said: “We need to suppress the spread of the virus everywhere, using what we know works. Vaccination is already saving lives, with hospitalisation and deaths in most at-risk groups declining significantly, but vaccinating every population group will take time.”

On Thursday Slovakia transferred its first coronavirus patients abroad, to Poland, as the country’s hospitals became full with patients amid a resurgent pandemic.

Slovakia has reported the world’s highest number of Covid-related deaths per capita over the past week, as the government’s restrictions have failed so far to limit the spread of the coronavirus. Poland and Germany have offered to take 10 patients each from Slovakia.","['rise', 'european', 'week', 'europe', 'region', 'cases', 'deploy', 'variant', 'covid19', 'health', 'patients', 'curb', 'need', 'coronavirus', 'resurgence', 'basics']"
9,['Caroline Davies'],"It is one brief clip, just 30 seconds long. But what the latest trailer for the Duke and Duchess of Sussex’s highly anticipated interview with Oprah Winfrey hints at is there will be no holding back.

Meghan’s statement, that she and Harry could not be expected to stay silent if “the firm” is playing an active role in “perpetuating falsehoods” about them, appears on the face of it to be extraordinary.

“The firm” has long been shorthand for the royal family, ever since Prince Philip is said to have coined it on his marriage to Princess Elizabeth. It was used by Diana, Princess of Wales, and often not in a complimentary way.

Over the years it has acquired more negative connotations, perhaps more than Philip could have foreseen, conjuring a juggernaut of monarchy, resisting interference and obstacle.

It has been used to describe core members of the royal family. Equally, it has been used to encapsulate the wider institution of senior households and the men, and women, “in grey suits” that Meghan appears to have come to intensely dislike.

Context is everything. It remains to be seen whether Meghan is directing her ire in the teaser at the Queen, Charles, or William or at their courtiers. Buckingham Palace will discover, along with the rest of the world, only when the interview is finally aired.

If it is among the former, it surely raises the question if the couple’s already strained relationship with other members of the royal family, is now simply unsalvageable.

Those close to the couple say they do not have individual senior royals in their crosshairs. One said whenever Meghan, in private, discussed such issues, it had never been directed at individual members of the family.

It is said that she and Harry both tend to use the phrase “the firm” as interchangeable with the broader institution, the royal households and the courtiers who run the royal family’s operations.

What is now clear, though, is this interview will be wide-ranging. On the agenda will certainly be the couple’s condemnation of a “toxic” British press.

The toll, the pressure of royal life on the couple, is reflected in Winfrey’s question: “… ‘almost unsurvivable’ sounds like there was a breaking point?”

Winfrey’s comments: “Were you silent or were you silenced?” and “You’ve said some pretty shocking things here”, are all designed to whet the appetite.

Harry speaks of “history repeating itself”. Certainly, that is a feeling Buckingham Palace will share, about 25 years after his mother, Diana, Princess of Wales, unburdened herself to Martin Bashir in the Panorama interview which hastened her divorce from Prince Charles.

The timing and subject of this latest trailer capitalise on the controversy surrounding allegations published in the Times of bullying by Meghan, and denied by her through her lawyers, of staff who worked for her at Kensington Palace.

Sources say the Sussexes had no control over either the clip released, or the timing of it, which was all down to CBS. In fact, the couple’s interview was filmed before those allegations were made public, designed, according to the Sussexes’ lawyers, as a smear campaign against them.

Buckingham Palace’s mantra of “never complain, never explain” may have served well in the past, but clearly would not be appropriate in this case.

The unprecedented inquiry the palace has announced into these allegations – the first such inquiry into senior member of the royal family – has not de-escalated the rising tensions leading up to Sunday’s broadcast. Anything but.","['oprah', 'princess', 'palace', 'noholdsbarred', 'interview', 'used', 'trailer', 'signals', 'firm', 'royal', 'meghan', 'family', 'senior', 'meghans', 'members']"
